,English,Tamil
17,Life prisoners are desperate for release! Coimbatore Central Jail Siege! Tamimun Ansari who gathers the team!,பா.ரஞ்சித்துடன் என்றும் துணை நிற்பேன்.. உறுதி தந்த திருமா.. கண்கொட்டாமல் ரசித்த கனிமொழி.. பாராட்டு! 
18,"This belt is a ""hotspot"".. Heavy rain is going to happen.. Tamilnadu weatherman update!",திராவிட இயக்க தமிழர் பேரவையில் நாளை இணைகிறது தமிழ்நாடு திராவிடர் கழகம்!.. காரணம் என்ன தெரியுமா? 
19,Will the students perform Surya Namaskar? K. Veeramani condemns the UGC for sending the circular,சென்னை வானிலை மையம்.. முதல்நாள் விமர்சனம்.. மறுநாளே அமித் ஷாவிற்கு கடிதம் எழுதிய முதல்வர் ஸ்டாலின்! 
20,Pongal in Margazhi? what a cruelty? Congress slams Modi's event in Madurai!,"ஆவடி, தாம்பரம்.. புதிதாக உதயமான 2 போலீஸ் கமிஷனர் அலுவலகங்கள்.. முதல்வர் ஸ்டாலின் தொடங்கி வைத்தார்"
21,Makarasankaranti Prevesam in Tiger Vehicle - Who knows Rajayoga... Who knows loss,சிங்கார சென்னை டூ Sinkஆகுற சென்னை.. அய்யா மந்திரிமாரே வோட்டு போட்டவங்களை கரை சேருங்க! கஸ்தூரி ட்வீட் 
22,Annapoorani said that to Mother.. Have you seen the work done.. Is this true?,"இனி சொமேட்டோ, ஸ்விக்கியில் உணவு ஆர்டர் செய்ய போகிறீர்களா? இதை கொஞ்சம் படிங்க.. விலை எகிற போகுது! "
23,Vijayakanth waved his hand.. Premalatha stood with a currency note.. Volunteers jumped.,எட்டி எட்டி கையை அசைத்த விஜயகாந்த்.. ரூபாய் நோட்டுடன் நின்ற பிரேமலதா.. துள்ளி குதித்த தொண்டர்கள்
24,Good news for Tamilnadu school students.. All pass again? Government serious advice.. Information released,ஆயுள் சிறைவாசிகள் விடுதலையில் பேதம்! கோவை மத்திய சிறை முற்றுகை! அணி திரட்டும் தமிமுன் அன்சாரி! 
25,My son Durai Vaiyapuri has come to politics according to the wishes of the volunteers.. Vaiko's explanation!,"பார்த்தீங்கல்ல.. விஜயகாந்த் வந்ததுக்கே இப்படி.. ""கண்ணோட்டம்தான் காரணம்"".. கெத்து காட்டிய பிரேமலதா"
26,Thunderstorm in coastal districts...Heavy rain in Delta,தொண்டர்களின் விருப்பப்படி எனது மகன் துரை வையாபுரி அரசியலுக்கு வந்துள்ளார்.. வைகோ சொன்ன விளக்கம்!
27,"On New Year's Day, Anna, Karunanidhi Memorials Principal Stalin's Courtesy",மார்கழியில் பொங்கலா? என்ன கொடுமை இது? மதுரையில் மோடி பங்கேற்கும் விழாவை சாடும் காங்கிரஸ்!
28,I will always stand by Pa. Ranjith.,மாணவர்கள் சூரிய நமஸ்காரம் செய்யனுமா? சுற்றறிக்கை அனுப்பிய யுஜிசிக்கு கி.வீரமணி கண்டனம்
29,The Tamil Nadu Assembly session will begin on January 5 with the Governor's speech - at the Kalaivanar Arena,"புத்தாண்டையொட்டி அண்ணா, கருணாநிதி நினைவிடங்களின் முதல்வர் ஸ்டாலின் மரியாதை"
30,"Don't you see.. Vijayakanth came like this.. ""Perspective is the reason"".. Premalatha scolded.",கடலோர மாவட்டங்களில் இடி மின்னலுடன் மழை...டெல்டாவில் கனமழை பெய்யுமாம் 
31,Where is the underground excavation report?.. Dr. Ramadoss asks the Tamil Nadu government.. Parapara report!, பாலியல் வன்கொடுமை வழக்கில் குற்றவாளிக்கு 7 ஆண்டு சிறை: 20 ஆண்டுகளுக்குப் பின் உறுதி செய்த ஹைகோர்ட் 
32,'Malarantha 2022'.. People's enthusiastic celebration.. Special worship in temples and churches!,தமிழக சட்டசபைக் கூட்டம் ஜன.5ல் ஆளுநர் உரையுடன் தொடக்கம் - கலைவாணர் அரங்கில் நடக்கிறது 
33,Orange Alert.. Meteorological Department warns 12 districts today.. Very heavy rain is going to fall!,என்னங்க இது.. தமிழகத்தில் கொரோனா பாதிப்பு இப்படி வேகமாக உயருது.. சென்னையும் மிக மோசம்.. உஷார் மக்களே
34,Lightning speed.. Corona increased 2.5 times in just 4 days.. Omicron spread also doubled,கீழடி அகழாய்வு பணி அறிக்கை எங்கே?.. தமிழக அரசை கேட்கும் டாக்டர் ராமதாஸ்.. பரபர அறிக்கை! 
35,If people have this symptom.. send them for test immediately.. central government advice to state governments,அதிசயமாக இருக்கே.. தமிழகத்தில் கடந்த ஆண்டை விட.. புத்தாண்டு மது விற்பனை குறைவாம்.. இதுதான் காரணம் 
36,Vaccination for minors 15-18 years has started.. How to register? FULL GUIDE, மெரினா உள்பட சென்னை கடற்கரைகளுக்கு செல்ல பொதுமக்களுக்கு தடை.. இவங்களுக்கு மட்டும் விதிவிலக்கு 
37,What is this.. Corona virus is increasing rapidly in Tamil Nadu.. Chennai is also very bad.. Be careful people.,"'மலர்ந்தது 2022'.. மக்கள் உற்சாக கொண்டாட்டம்.. கோவில்கள், தேவாலயங்களில் சிறப்பு வழிபாடு! "
38,Public is prohibited from going to Chennai beaches including Marina.. Only these are exceptions,'புது ஆண்டில் இனிமை சூழ்ந்து இன்னல் அகலட்டும்'.. முதல்வர் மு.க.ஸ்டாலின் புத்தாண்டு வாழ்த்து 
39,7 years imprisonment for the accused in the sexual assault case: High Court confirmed after 20 years,ஆரஞ்சு அலர்ட்.. இன்று 12 மாவட்டங்களுக்கு வானிலை மையம் எச்சரிக்கை.. மிக கன மழை பெய்ய போகிறது! 
40,"A Tamil student who made Sri Lanka look back.. won 13 gold medals in Colombo University, a record!",கோவை கல்வி கூடங்கள் ஆர்எஸ்எஸ் ஷாகா வன்முறை பயிற்சி கூடமா? எதிர்த்தவர்கள் கைது ஏன்? கி. வீரமணி சுளீர்
41,"Rajinikanth appeared in a white dress and greeted the New Year with the slogan ""God..."" at Boise Garden.",கோவை பரபரப்பு.. போலீஸ் டிசிபியிடமே அத்துமீறிய ஆர்எஸ்எஸ் தொண்டர்கள்.. பாய்ந்தது வழக்கு 
42,Are you going to withdraw money from the ATM? New restrictions have arrived from today,இலங்கையை திரும்பி பார்க்க வைத்த தமிழ் மாணவி.. கொழும்பு பல்கலையில் 13 தங்க பதக்கங்களை வென்று சாதனை! 
43,Coimbatore commotion .. RSS workers violated Police DCP .. case flowed,15-18 வயது சிறார்களுக்கான வேக்சின் முன்பதிவு தொடங்கியது.. ரிஜிஸ்டர் செய்வது எப்படி? FULL GUIDE 
44,Are Coimbatore training centers for RSS shakha violence? Why are the opponents arrested? K. Veeramani Sulir,மக்களுக்கு இந்த அறிகுறி இருந்தா.. உடனே டெஸ்டுக்கு அனுப்புங்க.. மாநில அரசுகளுக்கு மத்திய அரசு அறிவுரை 
45,"Chief Minister M.K.Stal's new year greetings, 'May the New Year be filled with happiness and sorrows'", மின்னல் வேகம்.. வெறும் 4 நாட்களில் 2.5 மடங்கு உயர்ந்த கொரோனா.. ஓமிக்ரான் பரவலும் இரட்டிப்பானது
46,It is amazing.. New Year's liquor sales will be less in Tamil Nadu than last year.. This is the reason,ஏடிஎம்-ல பணம் எடுக்க போறீங்களா…? இன்று முதல் வந்தாச்சு புது கட்டுப்பாடுகள்
47,Alas.. happy news on New Year's day.. 102 rupees lower commercial gas cylinder price!, கஷ்டம் தான்!! 'தொடர்ந்து உருமாறும் கொரோனா.. 3ஆம் அலையுடன் முடிந்து போகாது..' டாப் ஆய்வாளர் வார்னிங்
48,A 21-year-old woman was brutally raped in the gym by 3 people.,அட நீங்க வேற.. அமித் ஷாவுக்கு ஆயிரம் வேலை இருக்கும்.. சந்திக்க மறுத்தது குறித்து டி.ஆர்.பாலு விளக்கம்!
49,Example of women.. Prime Minister Modi had a video conversation with farmer Salem Shanti!,உஷார்.. இந்தியாவில்.. ஜஸ்ட் ஒரே நாளில் இரு மடங்காக உயர்ந்த கொரோனா கேஸ் எண்ணிக்கை.. எவ்வளவு தெரியுமா?
50,'Delhi model development..' Will AAP rise outside the capital. Will Kejriwal succeed in 2022?,அடடே.. புத்தாண்டு தினத்தில் மகிழ்ச்சி தகவல்.. 102 ரூபாய் குறைந்த வர்த்தக காஸ் சிலிண்டர் விலை!
51,"Cancellation of permission of 12,000 charities like Mother Teresa, Jamia Islamia? what is the reason. Miscellaneous information",21 வயது பெண்ணுக்கு ஜிம்முக்குள் நடந்த கொடுமை.. 3 பேர் சேர்ந்து கூட்டு பலாத்காரம்.. டெல்லியில் அதிர்ச்சி
52,It's hard!! 'Continuously evolving corona.. will not end with the 3rd wave..' Top analyst warns, ஓமிக்ரான் பரவல் மோசம்.. என்ன செய்தால் சமாளிக்கலாம்.. இந்தியா தயாரா? சவுமியா சுவாமிநாதன் வார்னிங்
53,Mullai Periyar: A sudden petition in the Supreme Court demanding an order to the Tamil Nadu government to build a new dam!,முல்லை பெரியாறு: புதிய அணை கட்ட தமிழக அரசுக்கு உத்தரவிடக் கோரி சுப்ரீம் கோர்ட்டில் திடீர் மனு!
54,"Andal Tirupavai, Manikkavasakar Tiruvembavai Songs - 17",'டெல்லி மாடல் வளர்ச்சி..' தலைநகருக்கு வெளியே தலைதூக்குமா ஆம் ஆத்மி.. 2022இல் சாதிப்பாரா கெஜ்ரிவால்
55,What is DMK's strategy for Coimbatore local body elections?,புத்தாண்டில் பிரதமர் தந்த பரிசு... விவசாயிகள் வங்கிக் கணக்கில் வந்து சேர்ந்த தலா 2000 ரூபாய்! 
56,When he lifted his leg to get on the horse.. the groom's pants were torn.. then the twist happened..!," அன்னை தெரசா, ஜாமியா இஸ்லாமியா என 12,000 தொண்டு அமைப்புகளின் அனுமதி ரத்து? என்ன காரணம். பரபர தகவல்"
57,How much insurance will you get if your bank goes bankrupt?,பெண்களின் முன்னுதாரணம்.. விவசாயி சேலம் சாந்தியுடன் காணொலி காட்சியில் உரையாடிய பிரதமர் மோடி! 
58,Idiya for that.. The shirt is not right.. Shame on that tailor.. Shocked Andhra..!,கொரோனா அதிகரிக்க வாய்ப்பு.. எதற்கும் தயார் நிலையில் இருங்க.. மாநிலங்களுக்கு மத்திய அரசு அவசர கடிதம் 
59,Omicron spread is bad.. What can be done to deal with it.. Is India ready? Soumya Swaminathan Warning, ஐக்கிய அரபு அமீரகத்தில் தமிழக தொழிலாளிக்கு அடித்த மெகா 'ஜாக்பாட்'.. லாட்டரியில் ரூ.20 கோடி பரிசு! 
60,Amit Shah has a thousand jobs.,"ஆண்டாள் திருப்பாவை, மாணிக்கவாசகர் திருவெம்பாவை பாடல்கள் - 17"
61,Warning.. In India.. The number of corona cases has doubled in just one day.. Do you know how much?,அதுக்குன்னு இப்டியா.. சட்டை சரியில்லையாம்.. பாவம் அந்த டெய்லர்.. அதிர்ந்து போன ஆந்திரா..!
62,Corona is likely to increase.. Be ready for anything.. Central government urgent letter to states,கொரோனா வைரஸ்: இந்தியா தன் தடுப்பூசி இலக்கை தவறவிட்டது ஏன்?
63,Corona in mid-air: The teacher was isolated in the plane toilet for 5 hours,கோவை உள்ளாட்சித் தேர்தலுக்கு திமுகவின் வியூகம் என்ன?
64,Mega 'Jackpot' won by Tamil Nadu worker in United Arab Emirates..Rs. 20 crore prize in lottery!,ராஜஸ்தானில் ரூ.14 லட்சம் மதிப்புள்ள கழுதைகளை காணவில்லை - ராஜஸ்தான் போலீஸ் தேடுதல் வேட்டை
65,Is it the new year.. Surprise from AIADMK to Stalin! Ex-minister praised!, நடுங்குகிறது தலைநகர்.. வாட்டுகிறது குளிர்.. தவிக்கும் உத்தரபிரதேசம்.. 15 நாட்கள் பள்ளிகள் விடுமுறை
66,The state government should join hands with the central government.. Radharavi speech!, 'ஓவைசியை அரஸ்ட் பண்ணுங்க.. போலீசுக்கு நான் ரூ 22 லட்சம் தரேன்..' ஓப்பனாக பேசிய வலதுசாரி தலைவர்
67,Booster vaccine is so beneficial.. You know it is brilliant.. Then there is no need to hesitate people!,குதிரை மீது ஏற காலை தூக்கியதும்.. கிழிந்த மாப்பிள்ளையின் பேண்ட்.. அப்பறம் நடந்ததுதான் ட்விஸ்ட்டே..!
68,Tragedy at the New Year Puja.. 12 people died in the stampede at the Devi Temple in Jammu and Kashmir.. Many were injured!,நடுவானில் கொரோனா: 5 மணி நேரம் விமான கழிவறையில் தனிமைப்படுத்திக் கொண்ட ஆசிரியை
69,Prime Minister's gift in the new year... 2000 rupees each in farmers' bank accounts!," அமித்ஷாவுக்கு வந்த ஆவேசம்.. ""அவரை"" விட்டுடாதீங்க.. நல்லா கேளுங்க.. திகைத்து போன அயோத்தி..!"
70,Corona virus: Why India missed its vaccine target?,நீங்கள் பணம் வைத்துள்ள வங்கி திவாலானால் உங்களுக்கு எவ்வளவு காப்பீடு கிடைக்கும்?
71,"2022 Agenda ""This Is It"".. Is Kim Jong Un Talking?.. North Koreans Are Surprised",புத்தாண்டு பூஜையில் பரிதாபம்.. ஜம்மு காஷ்மீர் தேவி கோவில் கூட்ட நெரிசலில் 12 பேர் பலி.. பலர் காயம்! 
72,The capital city is shaking.. It is cold.. Uttar Pradesh is suffering.. 15 days of school holidays,"2022 அஜெண்டா ""இதுதான்"".. பேசுறது கிம் ஜாங் உன்னா?.. ஆச்சரியத்தில் வடகொரிய மக்கள் "
73,Donkeys worth Rs 14 lakh missing in Rajasthan - Rajasthan Police on the hunt, இது என்ன ஜெயிலா இல்ல Party Club-ஆ.... குத்தாட்டம் போட்ட பெண்கள்... எங்கு தெரியுமா? வைரலாகும் வீடியோ! 
74,In 2022.. the first two months will be ugly and humiliated.. then.. get used to it!, பூஸ்டர் தடுப்பூசியால் இவ்வளவு நன்மையா.. பளிச்சுன்னு தெரியுதே.. அப்போ தயக்கமே தேவையில்லை மக்களே!
75,"All those who were sick have recovered.. Happy New Year, Ramesh!",மத்திய அரசை நோக்கி மாநில அரசு கையேந்திதான் ஆக வேண்டும்.. ராதாரவி பேச்சு! 
76,2022.. I don't understand what this movie is trying to say.. When will love set for you all?,புத்தாண்டும் அதுவுமா.. அதிமுகவிலிருந்து ஸ்டாலினுக்கு வந்த சர்ப்ரைஸ்! புகழ்ந்து தள்ளிய மாஜி அமைச்சர்!
77,"Shock! In Maharashtra, 10 ministers, 20 MLAs have corona virus.. What does the deputy chief minister say?","அடேங்கப்பா.. கிடா, சேவல்.. மெகா கறி விருந்து! ஆண்களுக்கு மட்டுமே அனுமதி! ஒன்று கூடிய 10 ஆயிரம் பேர் "
78,Memes: The leader takes the blow that both of us have to take!.. Mixing content!,2022.. இந்தப் படம் என்ன சொல்ல வருதுனே புரியல.. உனக்கெல்லாம் எப்டி லவ் செட்டாகும்?
79,Oh great.. South Africa where Omicron was first discovered.. Good news from there!,Memes: தலைவரே நம்ம இரண்டு பேரும் வாங்க வேண்டிய அடியை அங்க ஒருத்தனே வாங்குறான்!.. கலக்கல் கன்டென்ட்! 
80,'Arrest Owaisi.. I will give Rs 22 lakh to the police..' the right-wing leader spoke openly,கருவேப்பிலை மாதிரிதான் காலண்டரும்.. யாரும் பாக்குறது இல்லன்னாலும்.. சண்டை போட்டு ஓசி வாங்கிடுவாங்க!
81,"The obsession that came to Amit Shah.. Don't leave ""him"".. Listen carefully.. Ayodhya is stunned..!","2022ல.. முதல் ரெண்டுமாசம் அசிங்கப்பட்டு, அவமானப்பட்டு.. அப்புறம்.. அதுவே பழகிடும்ங்க!"
82,What is Jaila Illa Party Club-ah... the women who punched... do you know where? Viral video!,கோமால இருந்தவங்க எல்லாம் குணமாகி.. Happy new year ஐ தூக்கிட்டு வர்றாங்க ரமேஷ்!
83,"Adengappa.. Kida, Rooster.. Mega Curry Feast! Men only allowed! 10 thousand people gathered together","அதிர்ச்சி!மகாராஷ்டிராவில் 10 அமைச்சர்கள், 20 எம்எல்ஏக்களுக்கு கொரோனா.. என்ன சொல்கிறார் துணை முதல்வர்"
84,Omicron not released in America.. The situation is bad in Britain and France too.. Many lakhs of cases have been recorded,அட சூப்பர்.. ஓமிக்ரான் முதலில் கண்டறியப்பட்டதே தென்னாப்பிரிக்கா.. அங்கிருந்து வந்த நல்ல செய்தி! 
85,English New Year Horoscope 2022: For Whose Kalyana Yoga Will Be Handy...In Whose House The Cradle Will Rock,"அமெரிக்காவில் விடாத ஓமிக்ரான்.. பிரிட்டன், பிரான்சிலும் நிலைமை மோசம்.. பல லட்சம் கேஸ்கள் பதிவு "
86,Why does Hanuman know how to extract butter and betel nut garlands?,ஆங்கில புத்தாண்டு ராசிபலன் 2022: கல்யாண யோகம் யாருக்கு கைகூடும்...யாருடைய வீட்டில் தொட்டில் ஆடும் 
87,Calender is like caraway leaf.. even if no one likes it.. fight and buy it!,அனுமனுக்கு வெண்ணெய் காப்பும் வெற்றிலை மாலையும் சாற்றுவது ஏன் தெரியுமா? 
88,'Vada Boche'.. Sunny Leone cheated Puduvai youth.. Half way out of the show!,'வட போச்சே'.. புதுவை இளைஞர்களை ஏமாற்றிய சன்னி லியோன்.. நிகழ்ச்சியில் இருந்து பாதியிலேயே ஓட்டம்! 
89,Mobile MLA Office! Bamaka Assembly Member Arul in exemplary effort!,நடமாடும் எம்.எல்.ஏ. அலுவலகம்! முன்மாதிரி முயற்சியில் பாமக சட்டமன்ற உறுப்பினர் அருள்! 
90,Oviya refreshed the fans in the new year...fans are longing for those days,சிவகாசி பட்டாசு ஆலையில் வெடி விபத்து... அறைகள் தரைமட்டம் - 4 பேர் பலி 
91,Ary tried something new for the new year...this is another level leader...celebrating fans,எத்தனை நாளைக்குத்தான் அரைத்த மாவையே அரைப்பது...கண்ணான கண்ணே சீரியலை கடைந்து எடுக்கும் ரசிகர்கள் 
92,I am.. a model.. no.. I have changed a lot... Ashwin congratulated him solemnly.,புத்தாண்டில் ரசிகர்களுக்கு புத்துணர்வு ஊட்டிய ஓவியா...அந்த நாட்களை நினைத்து ஏங்கும் ரசிகர்கள் 
93,Ashwin pairing up with Sembaruthi Shabana...Do you know in which serial??,செம்பருத்தி ஷபானாவோடு ஜோடி சேரும் அஸ்வின்...எந்த சீரியலில் தெரியுமா?? 
94,Atheena Abbot of Dharumapuram demands handing over of the emerald recovered from the bank locker.,நண்பர்களை இணைத்த பிரியாணி...அவங்களே ஷாக் ஆகிட்டாங்களாம்!!
95,The inspector who slapped the chin! The student who was doing dharna was beaten and attacked.. The viral video released,நான்.. முந்திமாதிரி.. இல்லங்க..ரொம்ப மாறிட்டேன்...பவ்யமாக வாழ்த்து கூறிய அஸ்வின்
96,RB Udayakumar garlanded betel leaf for OPS! South district administrators concentrated in Periyakulam!,இப்படி செய்யக் கூடாது...பாக்கியலட்சுமி சீரியலுக்கு எதிராக போலீசில் புகார்... அதிர்ச்சியில் ரசிகர்கள்
97,This is the tweet of the Virudhu Nagar Collector who told him to finish his homework for asking for leave!,சிலருடைய சுயரூபம் விஸ்வரூபம் எடுத்திருக்கிறது...இன்று பேசப்போகும் கமல்..யாரைப் பற்றி தெரிகிறதா
98,"January Horoscope 2022: Raja Yoga for Aries, Attention Taurus",அமீர் ஜெயித்தது அமீரை விட நிரூப்புக்கு தான் சந்தோஷம்... காரணம் இதுவா?? கடுப்பில் ரசிகர்கள் 
99,Biryani that brought friends together...they were shocked!!,புத்தாண்டுக்கு புதுமையாய் முயற்சி எடுத்த ஆரி...இது வேற லெவல் தலைவா..கொண்டாடும் ரசிகர்கள் 
100,I am worth so many crores!! Green color.. Small statue.. Rare emerald lingam recovered in Thanjavur!,என்னது இவ்வளவு கோடி மதிப்பா!! பச்சை கலர்.. குட்டி சிலை.. தஞ்சையில் மீட்கப்பட்ட அரிய மரகத லிங்கம்! 
101,January Horoscope 2022 : These 4 zodiac signs take care of health,ஓ.பி.எஸ்.க்கு வெற்றிலை மாலை சூடிய ஆர்.பி.உதயகுமார்! பெரியகுளத்தில் குவிந்த தென்மாவட்ட நிர்வாகிகள்! 
102,Explosion in Sivakasi Fireworks factory...rooms at ground level - 4 killed,வங்கி லாக்கரில் இருந்து மீட்கப்பட்ட மரகதலிங்கம்... ஒப்படைக்க கோரும் தருமபுரம் ஆதீன மடாதிபதி 
103,The day after the wedding.. the shock of the wife to the groom.. the shocked husband.,கல்யாணமான மறுநாளே.. மாப்பிள்ளைக்கு மனைவி தந்த ஷாக்.. அதிர்ந்த கணவன்.. விக்கித்து போன விழுப்புரம்
104,This should not be done...Police complaint against Pakiyalakshmi serial...Fans in shock,"கன்னத்தில் ""பளார்னு"" அறை விட்ட இன்ஸ்பெக்டர்! தர்ணா செய்த மாணவரை அடித்து தாக்கி.. வெளியான பரபர வீடியோ"
105,"""They made a mistake.."" The daughter who killed her mother in the middle of the road in Bangalore.. Parapara confession!",லீவு கேட்டதுக்கு ஹோம்வொர்கை முடி தம்பினு சொன்னாரே.. அந்த விருதுநகர் கலெக்டர் ட்வீட்டா இது! 
106,Grinding the same flour for how many days...Kannana Kanne serial fans,"ஜனவரி மாத ராசி பலன் 2022 : மேஷ ராசிக்கு ராஜ யோகம், ரிஷப ராசிக்காரர்கள் கவனம் "
107,Some people's self-image has taken a different shape... Kamal who is going to talk today.. do you know about whom?,ஜனவரி மாத ராசி பலன் 2022 : இந்த 4 ராசிக்காரர்களும் ஆரோக்கியத்தில் அக்கறை காட்டுங்கள் 
108,Aamir's win is more happiness for Niroon than Aamir... Is this the reason?? Fans in the heart,"""தப்பு பண்ணிட்டாங்க.."" பெங்களூரில் பெற்ற தாயை நடுரோட்டில் வெட்டிக்கொன்ற மகள்.. பரபர வாக்குமூலம்! "
109,Officials who violated the government order?.. The Madras High Court gave a stern warning.. What is the matter?,அரசு உத்தரவை மீறிய அதிகாரிகள்?.. கடுமையாக எச்சரித்த சென்னை உயர்நீதிமன்றம்.. என்ன விஷயம்? 
110,Annapoorani in YouTube video.,போன் செய்த முதல்வர்.. மீம்ஸ் கிரியேட்டர்கள் செய்த பேருதவி- கொரோனாவிலிருந்து மீண்ட வடிவேலு நெகிழ்ச்சி
111,"""Can't now.."" Omicron spread across.. Prime Minister's multi-year plan postponed?","தமிழ்நாட்டில் சிறார்களுக்கு எங்கே, எப்படி வேக்சின் போடப்படும்? இன்று முதல் விநியோகம்.. முழு விபரம்!"
112,The Chief Minister called.. Memes creators helped - Vadivelu Leschi recovered from Corona,தமிழ்நாட்டில் இன்று எங்கெல்லாம் மழை பெய்யும்? சென்னை வானிலை ஆய்வு மையம் கணிப்பு 
113,Are you home quarantined due to Corona... Phone numbers for medical advice,"""இப்போது முடியாது.."" குறுக்கே புகுந்த ஓமிக்ரான் பரவல்.. ஒத்தி வைக்கப்பட்ட முதல்வரின் பல வருட பிளான்? "
114,"After 2 doses of vaccine.. ""mild"" corona virus? Important advice given by Tamil Nadu Health Department",யூடியூப் வீடியோவில் அன்னபூரணி.. பார்த்து பரவச நிலை அடைந்த பக்தர்கள்.. புது அவதாரம்! 
115,Are you going for a walk in the marina? No beach allowed from today!,தமிழகத்தில் 50 ஆயிரம் இடங்களில் மெகா தடுப்பூசி முகாம்.. 2வது டோஸுக்கு முன்னுரிமை
116,The 3rd wave of Corona has started.. People beware...! M. Subramanian warns,"2 டோஸ் வேக்சின் போட்டபின்.. ""மைல்ட்"" கொரோனா பாதிப்பா? தமிழ்நாடு சுகாதாரத்துறை தந்த முக்கிய அறிவுரை "
117,Where will it rain today in Tamil Nadu? Chennai Meteorological Center forecast,கொரோனா வீட்டுத் தனிமையில் இருக்கீங்களா... மருத்துவ ஆலோசனை பெற தொலைபேசி எண்கள்
118,Mega Vaccination Camp at 50 thousand locations in Tamil Nadu.. Priority for 2nd dose,மெரினாவில் வாக்கிங் போறீங்களா ஓகே.. கடற்கரைக்கு செல்ல இன்று முதல் அனுமதி இல்லை! 
